Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES,GRBM_COUNT,SQ_INSTS_VALU,SQ_INSTS_LDS
10,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int, bool)#1}) [clone .kd]",1,0,10,14204,14204,16777216,128,0,0,20,4,80,64,0x0,0x74f8da075b00,262144,6386120,16515072,0
11,"__amd_rocclr_fillBufferAligned.kd",1,0,11,14204,14204,256,256,0,0,12,4,48,64,0x0,0x750259a2b580,4,333694,34,0
12,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float> >, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float> >, unsigned int, float, 4, 4>) [clone .kd]",1,0,12,14204,14204,155648,512,2560,0,28,4,80,64,0x0,0x74f8772185c0,2432,1082473,4496862,26526
13,"__amd_rocclr_copyBuffer.kd",1,0,13,14204,14204,512,512,0,0,16,0,32,64,0x7500f53ff680,0x750259a2b600,8,128467,57,0
14,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int, bool)#1}) [clone .kd]",1,0,14,14204,14204,16777216,128,0,0,28,4,64,64,0x0,0x74f8d8664540,262144,14468841,19660800,0
15,"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>) [clone .kd]",1,0,15,14204,14204,4194304,256,0,0,24,0,32,64,0x0,0x74f8f4115c80,65536,2020011,1966080,0
16,"__amd_rocclr_fillBufferAligned.kd",1,0,16,14204,14204,256,256,0,0,12,4,48,64,0x0,0x750259a2b580,4,160358,34,0
17,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>) [clone .kd]",1,0,17,14204,14204,155648,512,2560,0,28,4,80,64,0x0,0x74f876e17f80,2432,958247,1827271,26526
18,"__amd_rocclr_copyBuffer.kd",1,0,18,14204,14204,512,512,0,0,16,0,32,64,0x7500f53ff600,0x750259a2b600,8,120782,57,0
19,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> > const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> > const&)::{lambda(int, bool)#1}) [clone .kd]",1,0,19,14204,14204,8388608,128,0,0,52,4,64,64,0x0,0x74f8766703c0,131072,13540871,24510464,0
20,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",1,0,20,14204,14204,4194304,256,0,0,24,0,32,64,0x0,0x74f875c4a280,65536,1741833,1441792,0
21,"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>) [clone .kd]",1,0,21,14204,14204,4194304,256,0,0,24,0,32,64,0x0,0x74f8f4115c80,65536,1974320,1966080,0
22,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>) [clone .kd]",1,0,22,14204,14204,4194304,256,0,0,28,4,32,64,0x0,0x74f8d8664280,65536,1875163,1572864,0
23,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int, bool)#1}) [clone .kd]",1,0,23,14204,14204,16777216,128,0,0,28,4,64,64,0x0,0x74f8d8664540,262144,15277958,19660800,0
24,"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>) [clone .kd]",1,0,24,14204,14204,4194304,256,0,0,24,0,32,64,0x0,0x74f8f4115c80,65536,1919737,1966080,0
25,"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>) [clone .kd]",1,0,25,14204,14204,4194304,256,0,0,24,0,32,64,0x0,0x74f8f4115c80,65536,2180714,1966080,0
26,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",1,0,26,14204,14204,4194304,256,0,0,24,0,32,64,0x0,0x74f876670500,65536,1442221,8978432,0
27,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 3ul>) [clone .kd]",1,0,27,14204,14204,4194304,256,0,0,40,0,32,64,0x0,0x74f876670300,65536,866836,9306112,0
28,"void at::native::vectorized_elementwise_kernel<16, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool> >, std::array<char*, 3ul>) [clone .kd]",1,0,28,14204,14204,4194304,256,0,0,36,4,80,64,0x0,0x74f875c4b400,65536,992716,5636096,0
29,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::CompareFunctor<float> >(at::TensorIteratorBase&, at::native::(anonymous namespace)::CompareFunctor<float> const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::CompareFunctor<float> >(at::TensorIteratorBase&, at::native::(anonymous namespace)::CompareFunctor<float> const&)::{lambda(int, bool)#1}) [clone .kd]",1,0,29,14204,14204,8388608,128,0,0,52,4,64,64,0x0,0x74f855032040,131072,14698754,20316160,0
30,"void at::native::vectorized_elementwise_kernel<16, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseAndFunctor<bool> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseAndFunctor<bool> >, std::array<char*, 3ul>) [clone .kd]",1,0,30,14204,14204,4194304,256,0,0,36,4,80,64,0x0,0x74f854854b00,65536,919249,5636096,0
31,"void at::native::vectorized_elementwise_kernel<16, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseOrFunctor<bool> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseOrFunctor<bool> >, std::array<char*, 3ul>) [clone .kd]",1,0,31,14204,14204,4194304,256,0,0,36,4,32,64,0x0,0x74f854856300,65536,991663,4325376,0
32,"__amd_rocclr_fillBufferAligned.kd",1,0,32,14204,14204,256,256,0,0,12,4,48,64,0x0,0x750259a2b580,4,109333,34,0
33,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4>) [clone .kd]",1,0,33,14204,14204,155648,512,1024,12,28,4,80,64,0x0,0x74f854222500,2432,3127610,6096890,26526
34,"__amd_rocclr_copyBuffer.kd",1,0,34,14204,14204,512,512,0,0,16,0,32,64,0x7500f53ff580,0x750259a2b600,8,417788,57,0
35,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,35,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31454832,45432832,33554432
36,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,38,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,642945,720896,0
37,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,39,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,28615836,45432832,33554432
38,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,40,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,1410120,720896,0
39,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,41,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,28636198,45432832,33554432
40,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,42,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,1462692,720896,0
41,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,43,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,28513230,45432832,33554432
42,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,44,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,1377100,720896,0
43,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,45,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,29779555,45432832,33554432
44,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,46,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,1556638,720896,0
45,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,47,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,29169875,45432832,33554432
46,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,50,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,32649785,45432832,33554432
47,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,51,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,33107223,45432832,33554432
48,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,52,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,34488435,45432832,33554432
49,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,53,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,33499938,45432832,33554432
50,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,54,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,32333646,45432832,33554432
